news_id,category,title,event_type,direction,magnitude,is_expected,affected_tickers,scope,note
41220,TW,【台股投資週報】12檔營收創新高+配息5元以上績優股出列,other,negative,1,true,,TW,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
26892,TW,美喆-KY現增案完成募集 繼台南投資後將赴泰國設廠,supply_chain,positive,2,true,8466,TW,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
41165,TW,動力-KY受惠泛電競訂單拉貨穩健成長 Q3獲利年增逾4成EPS 1.8元,earnings,positive,2,true,6591,TW,Opus 草稿
26920,TW,vivo V50搶攻Z世代市場奏效 首月銷量成長逾三成,product,neutral,1,true,,TW,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
15307,TW,兆豐銀信貸屢獲肯定 蟬連英國World Finance台灣最佳商業銀行,other,neutral,1,true,,TW,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
15317,TW,〈智原法說〉Q3營收估季增1成  IP及NRE業績再拚新高,guidance,positive,2,true,3035,TW,Opus 草稿
17632,TW,漢來美食上半年賺逾半個股本 將進行多項大型展店計畫,earnings,positive,2,true,1268,TW,Opus 草稿
40726,TW,44搶13！國家藥科獎出爐：仲智數位AI檢測胰臟癌、台灣創材純化生物製劑並列金獎,other,neutral,1,true,,TW,Opus 草稿
29220,TW,借鏡日本家族聯絡網 金管會推廣保單解約、提領通知指定家人,regulation,neutral,1,true,,TW,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
17774,TW,〈聯詠法說〉手機備貨迎旺季 Q3營收季增1成 OLED TDDI明年量產,guidance,positive,2,true,3034,TW,Opus 草稿
17484,TW,〈台股盤後〉台積電漲勢略顯疲態 量縮上漲304點靠攏2萬2關卡,other,positive,1,true,,TW,Opus 草稿
40778,TW,【ETF觀察】《大賣空》Burry做空AI股！00990A成關鍵布局？AI市場真的有泡沫嗎？,other,mixed,1,true,NVDA,TW,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
26549,TW,中港店部分品牌不續約 新光三越：與氣爆意外無關,other,neutral,1,true,,TW,Opus 草稿
40668,TW,玉晶光2025年前三季EPS 22.41元 估Q4營運動能優於去年同期,earnings,positive,2,true,3406,TW,Opus 草稿
29136,TW,溢泰南京廠大搶中國商用淨水器成長商機 3月營收達11.85億元,earnings,positive,2,true,7818,TW,Opus 草稿
40752,TW,金像電規劃明年資本支出達72億元 對泰國廠還要投13億元,supply_chain,positive,2,false,2368,TW,Opus 草稿
26439,TW,去年淨賺290億創紀錄！臺銀開辦財富管理18年有底氣 勇奪財管2大獎,other,neutral,1,true,,TW,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
15426,TW,逾3成國人未規劃老年財務支出 南山人壽教戰退休規劃攻略,other,neutral,1,true,,TW,Opus 草稿
